name,rating,Total Rating,Company Info,Highly Rated For,Critically Rated For
Furukawa Minda Electric,4.0,(279),Auto Components | Rewari +13 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",
OptimHire,3.8,(279),Internet | Union City +6 other locations,"Work Life Balance, Skill Development / Learning",Salary & Benefits
Intelliswift Software,3.5,(279),IT Services & Consulting | Newark +7 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Arcesium,3.6,(279),IT Services & Consulting | New York City +7 other locations,"Job Security, Salary & Benefits, Company Culture","Work Satisfaction, Work Life Balance, Skill Development / Learning"
Flipspaces,4.2,(279),Architecture & Interior Design | Mumbai +12 other locations,"Company Culture, Skill Development / Learning, Work Satisfaction",
Quintessence Business Solutions & Services,4.0,(279),Analytics & KPO | Dallas +2 other locations,"Job Security, Skill Development / Learning, Company Culture",
Mahindra Insurance Brokers,3.3,(279),Insurance | Mumbai +75 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Labcorp,4.1,(279),Healthcare | Burlington +10 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Boehringer-Ingelheim,4.0,(278),Pharma | Ingelheim +52 other locations,"Skill Development / Learning, Work Life Balance, Salary & Benefits","Job Security, Promotions / Appraisal"
Flyjac Logistics,4.1,(278),Logistics | Chennai +44 other locations,"Job Security, Company Culture, Work Life Balance",
Jade Global,3.6,(278),IT Services & Consulting | San Jose +6 other locations,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Mediamint,3.5,(278),Marketing & Advertising | Hyderabad/Secunderabad +2 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Toshiba Transmission & Distribution Systems,3.9,(278),Electrical Equipment | Hyderabad +21 other locations,Job Security,Promotions / Appraisal
Berkadia,4.0,(278),Real Estate | New York +5 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Dorf Ketal Chemicals,3.9,(279),Oil & Gas | Houston +32 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
Purplle.com,3.8,(278),Beauty & Personal Care | Mumbai +24 other locations,,Promotions / Appraisal
Apcer Life Sciences,3.6,(278),Pharma | Princeton +5 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Jubilant Biosys,3.8,(278),Biotechnology | Noida +10 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
International Automotive Components,3.9,(277),Auto Components | Southfield +14 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
SiliconIndia,2.6,(277),Printing & Publishing | Bangalore/Bengaluru +8 other locations,,"Company Culture, Job Security, Work Satisfaction"
Victora Tool Engineers,3.7,(277),Auto Components | Faridabad +10 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Mars,3.7,(278),Food Processing | McLean +52 other locations,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Job Security"
Expedia Group,3.9,(277),Internet | Seattle +11 other locations,"Work Life Balance, Salary & Benefits, Company Culture","Promotions / Appraisal, Job Security"
Tata Marcopolo Motors,3.6,(277),Auto Components | Pune +12 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Consolidated Construction Consortium,4.4,(276),Engineering & Construction | Chennai +28 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
Servion Global Solutions,3.5,(276),IT Services & Consulting | New Jersey +13 other locations,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Tyger Capital,4.2,(276),NBFC | Mumbai +87 other locations,"Work Life Balance, Company Culture, Salary & Benefits",
L&T Defence,3.8,(277),Defence & Aerospace | Mumbai +17 other locations,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Moon Beverages,4.0,(278),Beverage | New Delhi +21 other locations,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
YKK,4.0,(276),Fashion & Textile | Gurgaon/Gurugram +19 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning"
Rane Brake Lining,4.3,(276),Auto Components | Chennai +21 other locations,"Skill Development / Learning, Company Culture, Job Security",
ZF India Technology Center,3.7,(276),Auto Components | Friedrichshafen +5 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Princess Cruises,4.3,(276),Travel & Tourism | Santa Clarita +13 other locations,"Company Culture, Job Security, Salary & Benefits",
McNROE,4.0,(275),FMCG | Kolkata +49 other locations,Salary & Benefits,"Promotions / Appraisal, Job Security"
Treebo Hotels,3.3,(275),Internet | Bangalore +36 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
McNROE,4.0,(275),FMCG | Kolkata +49 other locations,Salary & Benefits,"Promotions / Appraisal, Job Security"
Pfizer Products India,4.1,(276),Pharma | New York City +13 other locations,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Job Security"
Hical Technologies,3.7,(275),Auto Components | Bangalore/Bengaluru +4 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Vini Cosmetics,3.7,(275),Beauty & Personal Care | Ahmedabad +79 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
TresVista,3.0,(276),Financial Services | Mumbai +11 other locations,,"Work Life Balance, Work Satisfaction, Company Culture"
Baramati Agro,3.9,(275),FMCG | Pune +34 other locations,,
Gammon Engineers And Contractors,3.9,(274),Engineering & Construction | Mumbai +36 other locations,"Work Life Balance, Skill Development / Learning, Job Security","Salary & Benefits, Promotions / Appraisal"
Vasan Eye Care Hospitals,3.9,(274),Healthcare | Chennai +69 other locations,"Work Life Balance, Work Satisfaction",Promotions / Appraisal
ERA Group,3.7,(274),Power | Mumbai +37 other locations,Skill Development / Learning,"Promotions / Appraisal, Job Security"
Kelly Services,4.3,(274),Recruitment | Troy +35 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
The Hershey Company,4.0,(275),Food Processing | Derry Township +57 other locations,"Company Culture, Job Security, Salary & Benefits",Promotions / Appraisal
Carraro,4.0,(273),Industrial Machinery | Campodarsego +2 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
Nyati Group,4.3,(274),Real Estate | Pune +12 other locations,"Job Security, Salary & Benefits, Company Culture",
KEPCO Plant Service & Engineering,3.8,(274),Engineering & Construction | Naju +21 other locations,,"Promotions / Appraisal, Job Security, Work Life Balance"
Nutricia,3.6,(274),Fitness & Wellness | Utrecht +56 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Arabian Industries,4.0,(273),Oil & Gas | Muscat +16 other locations,Work Life Balance,Promotions / Appraisal
Ipsos,3.4,(273),Analytics & KPO | Paris +27 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Global Calcium,3.9,(273),Pharma | Bangalore/Bengaluru +4 other locations,Job Security,
Watertec India,3.9,(273),Building Material | Mumbai +59 other locations,Salary & Benefits,Promotions / Appraisal
Fluper,4.1,(273),IT Services & Consulting | Noida +2 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
Aditya Birla Housing Finance,3.8,(273),Financial Services | Mumbai +71 other locations,Job Security,Promotions / Appraisal
New Opportunity Consultancy,4.3,(273),Recruitment | Navi Mumbai +111 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",
L&T–MHI Power Boilers,3.9,(273),Industrial Machinery | Faridabad +20 other locations,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
Mitsubishi Electric Automotive India,4.4,(273),Automobile | New Delhi +15 other locations,"Company Culture, Salary & Benefits, Work Life Balance",
Osource India,3.0,,IT Services & Consulting | Noida +19 other locations,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
CloudFoundation,4.9,(272),Hyderabad / Secunderabad +10 other locations,"Company Culture, Work Satisfaction, Job Security",
TimesPro,4.1,(272),Education & Training | Mumbai +19 other locations,"Work Life Balance, Salary & Benefits, Company Culture",
Zf Wind Power,4.1,(272),Lommel +7 other locations,"Job Security, Company Culture, Skill Development / Learning",
Dixit Infotech Services,4.1,(272),IT Services & Consulting | Mumbai +35 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
Kokuyo Camlin,3.9,(272),FMCG | Mumbai +52 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Aliens Group,3.3,(272),Real Estate | Hyderabad/Secunderabad +5 other locations,,"Work Life Balance, Company Culture, Job Security"
Polybond India,3.9,(272),Auto Components | Pune +11 other locations,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Vedant Fashions,4.1,(272),Fashion & Textile | Kolkata +42 other locations,"Company Culture, Work Satisfaction, Job Security",Promotions / Appraisal
Paragon Footwear,4.0,(272),Fashion & Textile | Delbruck +47 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Top Office Pros Business Services,4.9,(271),Logistics | Dubai +7 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
Paragon Digital Services,3.3,(271),Marketing & Advertising | Chennai +7 other locations,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
CareEdge Ratings,2.9,(271),Financial Services | Mumbai +18 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
MNC Group,4.3,(272),Investment Banking / Venture Capital / Private Equity | Jakarta +43 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",
Asort Company,4.4,(271),Internet | Mohali +54 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Subway,4.2,(271),Hospitality | Milford +56 other locations,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
Western Union,3.7,(271),FinTech | Denver +18 other locations,Salary & Benefits,Promotions / Appraisal
ANTOLIN,3.9,(271),Auto Components | Burgos +15 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Premier Energies,4.1,(271),Power | Lucknow +14 other locations,"Company Culture, Work Life Balance, Job Security",
Ambuja Neotia,4.0,(271),Real Estate | Kolkata +14 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Tata Digital,2.9,(271),IT Services & Consulting | Mumbai +8 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Zuari Cement,4.3,(268),Building Material | Bangalore/Bengaluru +34 other locations,"Job Security, Work Life Balance, Company Culture",
Copeland,3.9,(270),Electronics Manufacturing | Chennai +25 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Robosoft Technologies,3.4,(270),IT Services & Consulting | New Udupi +10 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Shree Baidyanath Ayurved Bhawan,3.5,(270),Pharma | Allahabad/Prayagraj +36 other locations,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
LKQ INDIA,3.6,(270),IT Services & Consulting | Chicago +3 other locations,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Western Digital,3.5,(270),Consumer Electronics & Appliances | San Jose +9 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
AirAsia,3.6,(270),Aviation | Kuala Lumpur +24 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Roquette Riddhi Siddhi,3.9,(271),Lestrem +17 other locations,"Company Culture, Work Life Balance",Promotions / Appraisal
Zydex Industries,4.0,(270),Chemicals | Vadodara/Baroda +63 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",
Titan Laboratories,3.7,(270),Pharma | Mumbai +13 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction"
INFOSEC VENTURES,3.9,(269),London +5 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",
L&T Transportation Infrastructure,4.6,(269),Engineering & Construction | Gurgaon / Gurugram +37 other locations,"Job Security, Skill Development / Learning, Company Culture",
Lloyd Insulations,3.5,(269),Industrial Machinery | Delhi/NCR +35 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Koenig Solutions,4.0,(269),Education & Training | Delhi/NCR +15 other locations,"Skill Development / Learning, Work Satisfaction, Company Culture",
RWS Group,3.7,(270),IT Services & Consulting | Chalfont St Peter +16 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Parul University,3.5,(269),Education & Training | Vadodara/Baroda +30 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Core Integra Consulting Services,3.5,(269),Recruitment | Mumbai +69 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Soma Enterprises,4.2,(268),Engineering & Construction | Hyderabad/Secunderabad +46 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
Mahindra Last Mile Mobility,3.8,(268),Automobile | Bangalore Rural +15 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Amartex Industries,4.0,(269),Fashion & Textile | Panchkula +18 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture",
Sunflag Iron and Steel,4.0,(268),Iron & Steel | Nagpur +13 other locations,"Skill Development / Learning, Job Security",Promotions / Appraisal
Nobel Hygiene,3.6,(268),Healthcare | Mumbai +60 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Hindustan Wellness,4.1,(268),Healthcare | Gurgaon +15 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Qentelli,4.1,(269),IT Services & Consulting | Dallas +2 other locations,"Company Culture, Work Life Balance, Work Satisfaction",
SALARPURIA SATTVA,4.2,(267),Real Estate | Bangalore/Bengaluru +13 other locations,"Work Life Balance, Job Security, Company Culture",
IB Group,3.8,(268),Food Processing | Rajnandgaon +60 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
Halliburton,3.7,(267),Engineering & Construction | Houston +23 other locations,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Job Security"
Globtier Infotech Limited,3.5,(267),IT Services & Consulting | Noida +34 other locations,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Kunal Structure,3.7,(267),Real Estate | Ahmedabad +24 other locations,,"Promotions / Appraisal, Job Security"
Ajio Business,3.7,(267),Ambala +99 other locations,Salary & Benefits,"Promotions / Appraisal, Job Security, Work Satisfaction"
Sagar Cements,4.3,(267),Building Material | Hyderabad/Secunderabad +41 other locations,"Job Security, Work Life Balance, Work Satisfaction",
Selec Controls,3.6,(267),Electronics Manufacturing | Navi Mumbai +20 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
TRL Krosaki Refractories,4.0,(268),Metals & Mining | Jharsuguda +19 other locations,"Work Life Balance, Job Security, Skill Development / Learning",
Walplast Products,4.0,(267),Engineering & Construction | Navi Mumbai +47 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Ajio Business,3.7,(267),Ambala +99 other locations,Salary & Benefits,"Promotions / Appraisal, Job Security, Work Satisfaction"
Maharashtra Hybrid Seed Company,4.1,(266),Agriculture | Jalna +60 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
HyScaler,4.5,(266),IT Services & Consulting | Santa Clara +3 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",
Mobiloitte Technologies,3.0,(266),IT Services & Consulting | Delhi/NCR +5 other locations,,"Job Security, Company Culture, Salary & Benefits"
InnovationM,4.3,(266),IT Services & Consulting | Noida +6 other locations,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
Cygnet Infotech,3.6,(266),IT Services & Consulting | Ahmedabad +11 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Uneecops Technologies,3.8,(266),IT Services & Consulting | Delhi/NCR +17 other locations,"Job Security, Company Culture",Promotions / Appraisal
Khimji Ramdas,4.0,(267),Retail | Muscat +31 other locations,Job Security,Promotions / Appraisal
VST Industries,4.0,(266),FMCG | Hyderabad/Secunderabad +72 other locations,,Promotions / Appraisal
IIT Bombay,4.5,(267),Education & Training | Mumbai +9 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Ubisoft Entertainment,3.9,(266),Gaming | Montreuil +6 other locations,"Work Life Balance, Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal"
Smart Value Products And Services,4.2,(267),FMCG | Delhi/NCR +69 other locations,"Skill Development / Learning, Company Culture, Job Security",
Joyalukkas,4.3,(266),Retail | Dubai +62 other locations,"Salary & Benefits, Job Security, Company Culture",
Hollister Medical,4.1,(266),Medical Equipment | Illinois +9 other locations,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
Protium Finance,3.9,(266),Financial Services | Rajahmundry +62 other locations,Salary & Benefits,
Centre For Sight,3.9,(265),Healthcare | Delhi +28 other locations,Work Life Balance,Promotions / Appraisal
Windlas Biotech,4.0,(265),Pharma | Gurugram +11 other locations,"Salary & Benefits, Work Life Balance",
Yum!,4.2,(265),Hospitality | Colonel Sanders Lane +28 other locations,"Company Culture, Job Security, Work Life Balance",
Valvoline Cummins,4.1,(265),Auto Components | Gurgaon/Gurugram +55 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Fosroc India,4.4,(265),Chemicals | Dubai +41 other locations,"Company Culture, Work Life Balance, Job Security",
Yara Fertilisers,4.0,(265),Agro Chemicals | Oslo  +53 other locations,"Salary & Benefits, Skill Development / Learning, Company Culture",
RND Softech,3.4,(266),BPO | Coimbatore +6 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Aptean,3.3,(266),Software Product | Alpharetta +4 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
B S R & Co Llp,3.5,(265),Accounting & Auditing | Surat +20 other locations,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
AXIS MY INDIA,3.9,(265),Analytics & KPO | Mumbai +19 other locations,"Salary & Benefits, Skill Development / Learning, Work Life Balance",
Arundhati Jewellers,4.6,(264),Jewellery | Bhubaneswar +7 other locations,"Company Culture, Skill Development / Learning, Job Security",
InfoService,4.1,(264),IT Services & Consulting | Chennai +31 other locations,"Work Life Balance, Job Security, Company Culture",
Cavisson Systems,2.3,(264),IT Services & Consulting | Santa Clara +3 other locations,,"Company Culture, Salary & Benefits, Work Life Balance"
Endava,3.6,(264),IT Services & Consulting | Somerset +9 other locations,,"Skill Development / Learning, Promotions / Appraisal, Company Culture"
Siemens Healthcare,4.4,(264),Healthcare | Erlangen +22 other locations,"Work Life Balance, Job Security, Company Culture",
AIS Glass Solutions,3.7,(264),Building Material | Gurgaon +29 other locations,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance"
Gyproc,4.1,(264),Bangalore / Bengaluru +35 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Vaibhav Global,3.3,(265),Jewellery | Jaipur +9 other locations,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Concord Biotech,3.6,(265),Pharma | Ahmedabad +15 other locations,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Shriram Group,4.0,(263),Financial Services | Chennai +119 other locations,Company Culture,
Cactus Communications,3.7,(263),Software Product | Mumbai +12 other locations,,"Promotions / Appraisal, Salary & Benefits"
Starbucks,4.2,(264),Hospitality | Seattle +50 other locations,"Job Security, Company Culture, Skill Development / Learning",
IT By Design,4.0,(263),IT Services & Consulting | Jersey City +11 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Civica India,3.5,(264),IT Services & Consulting | London +4 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security, Salary & Benefits"
Nature's Basket,3.8,(263),Internet | Mumbai +10 other locations,,Promotions / Appraisal
Personiv,3.7,(263),BPO | Austin +9 other locations,,"Promotions / Appraisal, Skill Development / Learning"
Indo Farm Equipment,3.2,(263),Industrial Machinery | Solan +38 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Satin Finserv,4.0,(263),NBFC | Maihar +76 other locations,"Work Life Balance, Salary & Benefits, Job Security",
SOTC Travel Limited,3.8,(263),Travel & Tourism | Mumbai +32 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Shiash Info Solutions,3.2,(264),IT Services & Consulting | Chennai +6 other locations,,"Salary & Benefits, Promotions / Appraisal, Job Security"
KrazyBee,3.7,(263),Internet | Bangalore +11 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
InfodriveIndia,4.3,(263),Other | New Delhi +3 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
NTPC GE Power Services,3.7,(263),Oil & Gas | Noida +22 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Entigrity Solutions,4.1,(262),Recruitment | New York +16 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture",
ReachLocal Services,3.7,(262),Marketing & Advertising | Mumbai +5 other locations,Work Life Balance,Promotions / Appraisal
Videocon Industries Ltd.,4.0,(262),Consumer Electronics & Appliances | Mumbai +61 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",
Bain & Company,3.8,(262),Management Consulting | Boston +7 other locations,"Salary & Benefits, Company Culture","Work Satisfaction, Work Life Balance, Promotions / Appraisal"
Hyundai Construction Equipment,4.4,(262),Industrial Machinery | Pune +35 other locations,"Work Life Balance, Company Culture, Job Security",
Sarvodaya Hospital,3.8,(262),Healthcare | Faridabad +16 other locations,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Kyndal India,3.8,(262),Gurgaon +11 other locations,"Work Life Balance, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits"
Angelique International,4.6,(262),Engineering & Construction | Delhi/NCR +18 other locations,"Work Satisfaction, Company Culture, Work Life Balance",
VSynergize Outsourcing,4.0,(263),Marketing & Advertising | Boston +2 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning",
Everest Spices,3.8,(262),FMCG | Mumbai +59 other locations,,Promotions / Appraisal
Harsha Engineers,4.1,(262),Auto Components | Ahmedabad +8 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Uni Cards,4.3,(262),FinTech | Bangalore +8 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",
Cadence Design Systems,4.1,(262),Semiconductors | San Jose +13 other locations,"Company Culture, Job Security, Work Life Balance",
Bombardier Transportation,4.1,(261),Urban Transport | Montreal +11 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
MindGate Solutions,3.1,(265),IT Services & Consulting | Mumbai +8 other locations,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
Sata Vikas India,4.0,(261),Auto Components | Aurangabad +13 other locations,Skill Development / Learning,Promotions / Appraisal
Global Aluminium,3.9,(261),Metals & Mining | Hyderabad/Secunderabad +15 other locations,Skill Development / Learning,
Sabre,4.0,(261),Software Product | Southlake +10 other locations,"Work Life Balance, Company Culture, Salary & Benefits","Job Security, Promotions / Appraisal"
Cooper Corporation,3.8,(261),Auto Components | Pune +10 other locations,,"Promotions / Appraisal, Job Security, Company Culture"
The Phoenix Mills,3.8,(261),Real Estate | Mumbai +15 other locations,,Promotions / Appraisal
Shakti Pumps,3.8,(261),Industrial Machinery | Dhar +35 other locations,,"Promotions / Appraisal, Salary & Benefits"
Somic ZF Components,4.2,(261),Auto Components | Gurgaon/Gurugram +13 other locations,"Company Culture, Work Satisfaction, Work Life Balance",
ACB (India),3.6,(261),Oil & Gas | Gurgaon/Gurugram +22 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
HungerBox,3.9,(261),Internet | Bangalore +14 other locations,Work Life Balance,Promotions / Appraisal
CK Birla Group,4.1,(261),Building Material | Delhi/NCR +45 other locations,"Job Security, Company Culture, Skill Development / Learning",
Multiplier Brand Solutions,3.7,(261),Marketing & Advertising | New Delhi +61 other locations,,"Promotions / Appraisal, Job Security"
SPML Infra,3.5,(260),Engineering & Construction | Delhi/NCR +47 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
CEVA Logistics,3.8,(260),Logistics | Marseille +39 other locations,,Promotions / Appraisal
Molecular Connections,3.4,(260),IT Services & Consulting | Bangalore/Bengaluru +8 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Nestaway,4.0,(260),Internet | Bangalore +13 other locations,Work Life Balance,"Job Security, Promotions / Appraisal"
Adani Solar,3.9,(260),Power | Ahmedabad +18 other locations,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Salary & Benefits"
Thyssenkrupp Industrial Solutions,4.1,(260),Industrial Machinery | Essen +21 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Eaton India Innovation Center,4.1,(260),Engineering & Construction | Bangalore / Bengaluru +2 other locations,"Job Security, Salary & Benefits, Company Culture",
Hygienic Research Institute,4.2,(260),Beauty & Personal Care | Mumbai +50 other locations,"Company Culture, Work Life Balance, Job Security",
MN Dastur & Company,4.1,(260),Metals & Mining | Kolkata +12 other locations,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Orix Auto Infrastructure Services,4.2,(260),Logistics | Mumbai +20 other locations,"Company Culture, Work Life Balance, Job Security",
Royal Research,2.0,(260),Analytics & KPO | Kolkata +6 other locations,,"Salary & Benefits, Work Satisfaction, Company Culture"
Nabard Financial Services,4.1,(260),NBFC | Bengaluru +101 other locations,"Work Life Balance, Salary & Benefits, Company Culture",
AppInventiv Technologies,3.6,(260),Software Product | Noida +9 other locations,Company Culture,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Nava Limited,3.8,(260),Metals & Mining | Hyderabad/Secunderabad +25 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Avance Consulting Services,4.4,(259),London +7 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",
Bluechip Corporate Investment Centre,4.0,(259),Accounting & Auditing | Mumbai +81 other locations,"Salary & Benefits, Job Security, Company Culture",Promotions / Appraisal
Ircon International,4.0,(259),Engineering & Construction | Delhi/NCR +47 other locations,,
Thomson Digital,3.9,(259),Printing & Publishing | Noida +8 other locations,"Salary & Benefits, Work Life Balance",
Rheinmetall Automotive,4.0,(259),Auto Components | Neckarlsum +15 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Rahee Infratech,4.1,(258),Engineering & Construction | Howrah +33 other locations,"Work Life Balance, Job Security, Company Culture",
SKH Y-TEC,4.0,(259),Auto Components | Becharaji +19 other locations,Job Security,Promotions / Appraisal
Halonix Technologies,4.1,(260),Electronics Manufacturing | Noida +42 other locations,"Company Culture, Work Life Balance, Job Security",
SMS Infrastructure,4.1,(259),Engineering & Construction | Nagpur +42 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
EVRY India,4.5,(259),IT Services & Consulting | Bangalore/Bengaluru +3 other locations,"Work Life Balance, Company Culture, Job Security",
Al Tasnim Enterprises,3.5,(259),Engineering & Construction | Muscat +17 other locations,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Empower Retirement,3.8,(259),Financial Services | Greenwood Village +4 other locations,"Job Security, Salary & Benefits",Promotions / Appraisal
Leap Finance,4.0,(259),Financial Services | Bangalore / Bengaluru +11 other locations,"Company Culture, Salary & Benefits, Work Life Balance",
Miles Education - CPA & CMA Review (Hyderabad),4.3,(259),EdTech | Bengaluru/Bangalore +14 other locations,"Company Culture, Work Satisfaction, Skill Development / Learning",
Conviction HR,4.3,(259),Recruitment | Mumbai +12 other locations,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",
Mirza International,3.8,(259),Fashion & Textile | Kanpur +29 other locations,,Promotions / Appraisal
IndianOil Adani Ventures,4.1,(259),Mumbai +26 other locations,"Skill Development / Learning, Company Culture, Job Security",
Shriram Value Services,3.8,(258),IT Services & Consulting | Chennai +27 other locations,"Job Security, Company Culture",Salary & Benefits
Lafarge,4.3,(258),Building Material | Paris +74 other locations,"Job Security, Company Culture, Skill Development / Learning",
Miraj Group,4.6,(258),Printing & Publishing | Nathdwara +30 other locations,"Company Culture, Work Satisfaction, Work Life Balance",
